SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,LATITUDE,LONGITUDE
PAST SALE,July-24-2020,Condo/Co-op,926 Lansing Dr Unit E,Mount Pleasant,SC,29464,215000,2,2,Lansing East,903,,1965,72,238,300,Sold,http://www.redfin.com/SC/Mt-Pleasant/926-Lansing-Dr-29464/unit-E/home/68697841,Charleston Trident MLS,20014414,32.8039688,-79.8876594
PAST SALE,September-4-2020,Condo/Co-op,264 Alexandra Dr #4,Mount Pleasant,SC,29464,214250,2,2,East Bridge Town Lofts,976,,1986,30,220,,Sold,http://www.redfin.com/SC/Mt-Pleasant/264-Alexandra-Dr-29464/unit-4/home/68891723,Charleston Trident MLS,20022638,32.8076345,-79.8979732
PAST SALE,September-22-2020,Condo/Co-op,266 Alexandra Dr #10,Mount Pleasant,SC,29464,207000,2,2,East Bridge Town Lofts,976,,1986,12,212,319,Sold,http://www.redfin.com/SC/Mt-Pleasant/266-Alexandra-Dr-29464/unit-10/home/145688878,Charleston Trident MLS,19014404,32.8071323,-79.8982356
PAST SALE,,Condo/Co-op,269 Alexandra Dr #3,Mt Pleasant,SC,29464,220000,2,2,,976,,1986,,225,,,http://www.redfin.com/SC/Mt-Pleasant/269-Alexandra-Dr-29464/unit-3/home/108048777,,,32.8061898,-79.8968446
PAST SALE,August-20-2020,Condo/Co-op,265 Alexandra Dr #1,Mount Pleasant,SC,29464,235000,2,2,East Bridge Town Lofts,976,7405,1986,45,241,319,Sold,http://www.redfin.com/SC/Mt-Pleasant/265-Alexandra-Dr-29464/unit-1/home/68597024,Charleston Trident MLS,20020748,32.80616,-79.8967352
PAST SALE,July-20-2020,Condo/Co-op,1600 Long Grove Dr #1416,Mount Pleasant,SC,29464,185500,2,1,Long Grove,860,,1999,76,216,216,Sold,http://www.redfin.com/SC/Mt-Pleasant/1600-Long-Grove-Dr-29464/unit-1416/home/108178761,Charleston Trident MLS,20016074,32.818582,-79.8132249
PAST SALE,,Condo/Co-op,337 W Coleman Blvd Unit E333,Mt Pleasant,SC,29464,215000,2,2,,905,,1983,,238,,,http://www.redfin.com/SC/Mt-Pleasant/337-W-Coleman-Blvd-29464/unit-E333/home/108122684,,,32.796337,-79.887726
PAST SALE,February-15-2019,Condo/Co-op,1370 Cassidy Ct Unit 1370b,Mount Pleasant,SC,29464,287500,2,2,Remington Forest,1000,,1986,597,288,315,Sold,http://www.redfin.com/SC/Mt-Pleasant/1370-Cassidy-Ct-29464/unit-1370B/home/68893919,Charleston Trident MLS,18032602,32.7957793,-79.855379
PAST SALE,April-22-2019,Condo/Co-op,1481 Center St #808,Mount Pleasant,SC,29464,235000,2,2,Bay Club Sea Lofts,1000,,1987,531,235,288,Sold,http://www.redfin.com/SC/Mt-Pleasant/1481-Center-St-Ext-29464/unit-808/home/108050494,Charleston Trident MLS,19008564,32.7912567,-79.8495286
PAST SALE,April-1-2019,Condo/Co-op,1481 Center St #1507,Mount Pleasant,SC,29464,230000,2,2,Bay Club Sea Lofts,1000,,1987,552,230,,Sold,http://www.redfin.com/SC/Mt-Pleasant/1481-Center-St-Ext-29464/unit-1507/home/108170802,Charleston Trident MLS,19009756,32.7912567,-79.8495286
PAST SALE,January-8-2019,Condo/Co-op,273 Alexandra Dr #14,Mount Pleasant,SC,29464,210000,2,2,East Bridge Town Lofts,976,,1986,635,215,304,Sold,http://www.redfin.com/SC/Mt-Pleasant/273-Alexandra-Dr-29464/unit-14/home/101640536,Charleston Trident MLS,18031044,32.80616,-79.8967352
PAST SALE,April-19-2019,Condo/Co-op,271 Alexandra Dr #3,Mount Pleasant,SC,29464,206000,2,2,East Bridge Town Lofts,976,,1986,534,211,304,Sold,http://www.redfin.com/SC/Mt-Pleasant/271-Alexandra-Dr-29464/unit-3/home/68846100,Charleston Trident MLS,18032123,32.806118,-79.8964861
PAST SALE,January-25-2019,Condo/Co-op,276 Alexandra Dr #11,Mount Pleasant,SC,29464,205000,2,2,East Bridge Town Lofts,976,,1986,618,210,303,Sold,http://www.redfin.com/SC/Mt-Pleasant/276-Alexandra-Dr-29464/unit-11/home/143290058,Charleston Trident MLS,18029788,32.8050126,-79.8956244
PAST SALE,September-23-2019,Condo/Co-op,1481 Center St #807,Mount Pleasant,SC,29464,227000,2,2,Bay Club Homes,1000,,1987,377,227,288,Sold,http://www.redfin.com/SC/Mt-Pleasant/1481-Center-St-Ext-29464/unit-807/home/108120913,Charleston Trident MLS,19016606,32.7912567,-79.8495286
PAST SALE,,Condo/Co-op,1481 Center St Ext #507,Mt Pleasant,SC,29464,225000,2,2,,1000,,1987,,225,,,http://www.redfin.com/SC/Mt-Pleasant/1481-Center-St-Ext-29464/unit-507/home/108170454,,,32.7912567,-79.8495286
PAST SALE,December-20-2019,Condo/Co-op,1481 Center St #1205,Mount Pleasant,SC,29464,195000,2,2,Bay Club,1000,,1987,289,195,,Sold,http://www.redfin.com/SC/Mt-Pleasant/1481-Center-St-Ext-29464/unit-1205/home/108120976,Charleston Trident MLS,19032272,32.7912567,-79.8495286
PAST SALE,August-10-2020,Condo/Co-op,1481 Center St #308,Mount Pleasant,SC,29464,255000,2,2,Bay Club,1000,,1987,55,255,347,Sold,http://www.redfin.com/SC/Mt-Pleasant/1481-Center-St-Ext-29464/unit-308/home/108150528,Charleston Trident MLS,20017870,32.7912567,-79.8495286
PAST SALE,June-17-2020,Condo/Co-op,272 Alexandra Dr #1,Mount Pleasant,SC,29464,206000,2,2,East Bridge Town Lofts,976,,1986,109,211,320,Sold,http://www.redfin.com/SC/Mt-Pleasant/272-Alexandra-Dr-29464/unit-1/home/68671083,Charleston Trident MLS,20007257,32.80616,-79.8967352
PAST SALE,,Condo/Co-op,269 Alexandra Dr #3,Mt Pleasant,SC,29464,215000,2,2,,976,,1986,,220,,,http://www.redfin.com/SC/Mt-Pleasant/269-Alexandra-Dr-29464/unit-3/home/108039426,,,32.8061898,-79.8968446
PAST SALE,February-13-2020,Condo/Co-op,264 Alexandra Dr #7,Mount Pleasant,SC,29464,225000,2,2,East Bridge Town Lofts,1000,,1986,234,225,319,Sold,http://www.redfin.com/SC/Mt-Pleasant/264-Alexandra-Dr-29464/unit-7/home/68655379,Charleston Trident MLS,19025536,32.80616,-79.8967352
PAST SALE,July-29-2020,Condo/Co-op,1240 Fairmont Ave Apt 5,Mount Pleasant,SC,29464,235000,2,1,Village Oaks,975,,1979,67,241,214,Sold,http://www.redfin.com/SC/Mt-Pleasant/1240-Fairmont-Ave-29464/unit-5/home/68628268,Charleston Trident MLS,20012655,32.7913037,-79.8679044
PAST SALE,,Condo/Co-op,337 W Coleman Blvd Unit F333,Mt Pleasant,SC,29464,213525,2,2,,905,,1983,,236,,,http://www.redfin.com/SC/Mt-Pleasant/337-W-Coleman-Blvd-29464/unit-F333/home/108036140,,,32.796337,-79.887726
PAST SALE,June-5-2020,Condo/Co-op,337 W Coleman Blvd Unit D/333,Mount Pleasant,SC,29464,227500,2,2,Woodscape,905,,1983,121,251,275,Sold,http://www.redfin.com/SC/Mt-Pleasant/337-W-Coleman-Blvd-29464/unit-D/home/146790771,Charleston Trident MLS,20002802,32.796337,-79.887726
PAST SALE,April-5-2019,Condo/Co-op,1600 Long Grove Dr #1216,Mount Pleasant,SC,29464,169000,2,1,Long Grove,854,435,1999,548,198,216,Sold,http://www.redfin.com/SC/Mt-Pleasant/1600-Long-Grove-Dr-29464/unit-1216/home/108077987,Charleston Trident MLS,19004886,32.818582,-79.8132249
PAST SALE,February-27-2020,Condo/Co-op,265 Alexandra Dr #3,Mount Pleasant,SC,29464,220000,2,2,East Bridge Town Lofts,976,,1986,220,225,319,Sold,http://www.redfin.com/SC/Mt-Pleasant/265-Alexandra-Dr-29464/unit-3/home/68663912,Charleston Trident MLS,19031205,32.8070827,-79.8976233
PAST SALE,,Condo/Co-op,337 W Coleman Blvd Unit D333,Mt Pleasant,SC,29464,227500,2,2,,905,,1983,,251,,,http://www.redfin.com/SC/Mt-Pleasant/337-W-Coleman-Blvd-29464/unit-D333/home/68630255,,,32.796337,-79.887726
PAST SALE,,Condo/Co-op,269 Alexandra Dr #4,Mt Pleasant,SC,29464,213000,2,2,,976,,1986,,218,,,http://www.redfin.com/SC/Mt-Pleasant/269-Alexandra-Dr-29464/unit-4/home/108187036,,,32.8061898,-79.8968446
PAST SALE,,Condo/Co-op,269 Alexandra Dr #5,Mt Pleasant,SC,29464,216000,2,2,,976,,1986,,221,,,http://www.redfin.com/SC/Mt-Pleasant/269-Alexandra-Dr-29464/unit-5/home/108078897,,,32.8061898,-79.8968446
PAST SALE,October-30-2019,Condo/Co-op,2011 N Highway 17 Unit 1200m,Mount Pleasant,SC,29466,174900,2,1,The Meridian,898,,1993,340,195,310,Sold,http://www.redfin.com/SC/Mt-Pleasant/2011-N-Hwy-17-29466/unit-1200M/home/108173576,Charleston Trident MLS,19007461,32.8342818,-79.8219704
PAST SALE,April-16-2019,Condo/Co-op,2011 N Highway 17 Unit 1400f,Mount Pleasant,SC,29466,163000,2,1,The Meridian,898,,1993,537,182,301,Sold,http://www.redfin.com/SC/Mt-Pleasant/2011-N-Hwy-17-29466/unit-1400F/home/108170014,Charleston Trident MLS,18033066,32.8342818,-79.8219704
