lin,Address,Latitude,Longitude,Price,#Bed,#Bath,Square Foot,Year Built,date1,price1,date2,price2,date3,price3,date4,price4,date5,price5,date6,price6,date7,price7,absolute
https://www.zillow.com/homedetails/313-Etiwan-Pointe-Dr-Mount-Pleasant-SC-29464/122486265_zpid/,313 Etiwan Pointe Dr Mount Pleasant SC 29464,32.852702,-79.883984,379000,3,3,2178,2017,8/6/2020,379000,8/3/2020,379000,6/12/2020,389000,2/5/2020,395000,10/27/2018,395000,10/10/2018,395000,4/24/2017,356000,372
https://www.zillow.com/homedetails/3066-Emma-Ln-Mount-Pleasant-SC-29466/2079396501_zpid/,3066 Emma Ln Mount Pleasant SC 29466,32.865846,-79.796868,376600,3,3,2260,2020,9/4/2020,376600,9/2/2020,371600,7/30/2020,371600,7/15/2020,371600,5/29/2020,346890,,,,,373
https://www.zillow.com/homedetails/1098-S-Shadow-Dr-Mount-Pleasant-SC-29464/10928316_zpid/,1098 S Shadow Dr Mount Pleasant SC 29464,32.8061706,-79.8572999,375000,3,2,1160,1972,9/8/2020,375000,7/25/2014,128000,,,,,,,,,,,374
https://www.zillow.com/homedetails/454-Mount-Royall-Dr-Mount-Pleasant-SC-29464/10929946_zpid/,454 Mount Royall Dr Mount Pleasant SC 29464,32.8507584,-79.8349922,372900,3,2,1724,1991,9/8/2020,372900,8/25/2020,375000,,,,,,,,,,,375
https://www.zillow.com/homedetails/701-Fox-Pond-Dr-Mount-Pleasant-SC-29464/10925661_zpid/,701 Fox Pond Dr Mount Pleasant SC 29464,32.783432,-79.8619049,370000,3,2,1620,1983,8/28/2020,370000,7/9/2015,305000,,,,,,,,,,,376
https://www.zillow.com/homedetails/3046-Emma-Ln-Mount-Pleasant-SC-29466/2078933858_zpid/,3046 Emma Ln Mount Pleasant SC 29466,32.865846,-79.796868,369990,4,3,2180,2020,8/6/2020,369990,8/3/2020,373166,6/29/2020,374731,,,,,,,,,377
https://www.zillow.com/homedetails/1258-Lae-Mallard-Blvd-Mount-Pleasant-SC-29464/10933205_zpid/,1258 Lae Mallard Blvd Mount Pleasant SC 29464,32.8024091,-79.8506158,369900,3,1,1237,1986,9/9/2020,369900,11/17/2019,2100,10/29/2019,2100,10/15/2019,2300,5/24/2019,2300,5/14/2019,2300,12/9/2017,2000,378
https://www.zillow.com/homedetails/3048-Morningdale-Dr-Mount-Pleasant-SC-29466/55641770_zpid/,3048 Morningdale Dr Mount Pleasant SC 29466,32.8665983,-79.7968624,369900,3,3,1763,2000,8/10/2020,369900,7/3/2020,375000,6/21/2020,375000,4/28/2003,174000,9/29/2000,153565,,,,,379
https://www.zillow.com/homedetails/1093-Willoughby-Ln-Mount-Pleasant-SC-29466/61473787_zpid/,1093 Willoughby Ln Mount Pleasant SC 29466,32.8860761,-79.7872726,367500,3,2,1533,2000,9/2/2020,367500,8/26/2020,379500,8/22/2020,386600,8/24/2019,1995,8/10/2019,1995,8/6/2019,2150,8/6/2015,1897,380
https://www.zillow.com/homedetails/2537-Palmetto-Hall-Blvd-Mount-Pleasant-SC-29466/10939107_zpid/,2537 Palmetto Hall Blvd Mount Pleasant SC 29466,32.8959273,-79.8137699,365000,3,2,1648,1997,8/21/2020,365000,2/27/2002,170000,,,,,,,,,,,381
https://www.zillow.com/homedetails/248-Fair-Sailing-Rd-Mount-Pleasant-SC-29466/82548388_zpid/,248 Fair Sailing Rd Mount Pleasant SC 29466,32.905105,-79.820984,365000,4,4,2968,2005,8/7/2020,365000,,,,,,,,,,,,,382
https://www.zillow.com/homedetails/2876-Sunchaser-Ln-Mount-Pleasant-SC-29466/122138970_zpid/,2876 Sunchaser Ln Mount Pleasant SC 29466,32.8828619,-79.8112258,360000,4,2,1738,2011,8/31/2020,360000,9/29/2011,206547,4/26/2011,254000,,,,,,,,,383
https://www.zillow.com/homedetails/2072-ings-Gate-Ln-Mount-Pleasant-SC-29466/110205725_zpid/,2072 ings Gate Ln Mount Pleasant SC 29466,32.898965,-79.8189994,360000,3,3,2155,2012,9/4/2020,360000,10/2/2012,270695,,,,,,,,,,,384
https://www.zillow.com/homedetails/1686-Bridwell-Ln-Mount-Pleasant-SC-29466/247522287_zpid/,1686 Bridwell Ln Mount Pleasant SC 29466,32.8889318,-79.8022733,359999,4,3,1897,2016,9/8/2020,359999,6/27/2016,315295,,,,,,,,,,,385
https://www.zillow.com/homedetails/1522-Boston-Grill-Rd-Mount-Pleasant-SC-29466/2087626914_zpid/,1522 Boston Grill Rd Mount Pleasant SC 29466,32.8456136,-79.7839269,359900,6,5,5497,2002,7/31/2020,359900,6/27/2020,369900,6/16/2020,374900,5/29/2020,374900,4/30/2020,374900,3/8/2020,385000,1/31/2020,399900,386
https://www.zillow.com/homedetails/1516-Oldenburg-Dr-Mount-Pleasant-SC-29429/125935269_zpid/,1516 Oldenburg Dr Mount Pleasant SC 29429,32.8924481,-79.7524518,359700,3,2,1510,2014,9/2/2020,359700,7/18/2020,359900,7/7/2020,360000,10/2/2014,253213,,,,,,,387
https://www.zillow.com/homedetails/120-Palm-Cove-Way-Mount-Pleasant-SC-29466/82543158_zpid/,120 Palm Cove Way Mount Pleasant SC 29466,32.9088179,-79.816967,359000,3,4,2785,2006,8/18/2020,359000,8/7/2020,370000,2/17/2018,349900,1/10/2018,354500,11/30/2017,354500,11/14/2017,359000,10/22/2017,365000,388
https://www.zillow.com/homedetails/1045-Provincial-Cir-UNIT-A-Mount-Pleasant-SC-29464/10921789_zpid/,1045 Provincial Cir UNIT A Mount Pleasant SC 29464,32.797649,-79.8883235,355000,2,2,1232,1983,8/8/2020,355000,3/23/2017,2400,2/1/2017,2400,8/15/2016,2400,2/9/1995,80000,,,,,389
https://www.zillow.com/homedetails/2741-Palmetto-Hall-Blvd-Mount-Pleasant-SC-29466/55641409_zpid/,2741 Palmetto Hall Blvd Mount Pleasant SC 29466,32.8939024,-79.8109605,355000,3,2,1478,1999,9/5/2020,355000,2/25/2009,219500,1/31/2009,219500,1/12/2009,219500,9/20/2008,229900,6/10/2008,229900,5/19/2008,255000,390
https://www.zillow.com/homedetails/3076-Emma-Ln-Mount-Pleasant-SC-29466/2078029540_zpid/,3076 Emma Ln Mount Pleasant SC 29466,32.865846,-79.796868,354455,3,3,2261,2020,9/1/2020,354455,,,,,,,,,,,,,391
https://www.zillow.com/homedetails/3533-Ashwyce-St-Mount-Pleasant-SC-29466/62990200_zpid/,3533 Ashwyce St Mount Pleasant SC 29466,32.8958889,-79.792418,349900,3,2,1500,2002,9/4/2020,349900,8/28/2020,350000,7/10/2015,150000,6/13/2015,300000,6/4/2015,300000,5/30/2015,300000,5/19/2015,300000,392
